Team,Win-Loss Record,Win %,MOV,ATS +/-
Wagner,228-187-1,54.9%,1.2,-0.9
Rider,240-197-0,54.9%,0.9,+0.2
Richmond,273-225-0,54.8%,1.9,-0.1
S Carolina,249-206-0,54.7%,2.2,-0.5
Missouri St,262-217-0,54.7%,3.1,0.0
Jackson St,202-168-0,54.6%,0.8,+0.5
E Washingtn,235-196-0,54.5%,1.9,+0.4
Indiana St,231-193-0,54.5%,1.3,+1.0
Charlotte,236-198-0,54.4%,1.0,-0.4
Alcorn St,174-146-0,54.4%,0.5,-0.2
NW State,207-174-0,54.3%,0.2,+1.0
Delaware,226-190-0,54.3%,0.2,-1.7
Wofford,240-202-0,54.3%,2.7,+0.4
Pacific,237-200-0,54.2%,1.8,-0.2
Austin Peay,237-200-0,54.2%,1.2,+0.2
Stony Brook,209-177-0,54.2%,1.9,-0.5
S Alabama,239-203-0,54.1%,1.2,-0.2
Lehigh,214-182-0,54.0%,1.3,-0.1
Rhode Island,236-201-0,54.0%,1.4,-0.7
San Francisco,240-206-0,53.8%,2.3,+0.3
Cleveland St,221-190-0,53.8%,1.0,-0.2
Santa Clara,236-203-0,53.8%,0.5,+0.1
Ohio,264-228-0,53.7%,2.2,-0.5
Rob Morris,229-198-0,53.6%,1.4,-0.4
Fresno St,252-218-0,53.6%,1.9,-0.6
N Colorado,158-137-0,53.6%,2.2,+0.2
Quinnipiac,202-176-0,53.4%,1.1,0.0
Radford,227-198-0,53.4%,0.5,-1.1
Drexel,222-195-0,53.2%,1.6,-0.3
Nebraska,223-196-0,53.2%,1.2,-0.5
Alabama St,191-168-0,53.2%,0.8,-0.5
Navy,200-176-0,53.2%,1.7,-0.1
American,201-177-0,53.2%,0.9,+0.5
E Kentucky,216-191-0,53.1%,1.5,-0.2
St Bonavent,226-200-0,53.1%,1.3,-0.1
Wyoming,236-209-0,53.0%,1.2,-0.6
Ball St,217-193-0,52.9%,1.8,-0.5
WI-Grn Bay,227-202-0,52.9%,0.6,-0.2
Monmouth,204-182-0,52.9%,0.2,+0.3
Montana St,215-192-0,52.8%,0.8,-0.4
Marshall,228-205-0,52.7%,1.6,-1.0
Drake,222-201-0,52.5%,1.6,+0.4
Portland St,208-189-0,52.4%,2.0,+0.3
Northeastrn,212-193-0,52.4%,0.8,+0.4
Detroit,211-193-0,52.2%,2.0,-0.2
Seattle,122-112-0,52.1%,1.2,-0.1
Texas St,209-192-0,52.1%,1.2,+0.8
Bowling Grn,221-203-0,52.1%,0.7,-0.4
App State,224-206-0,52.1%,1.4,-0.4
Samford,215-198-0,52.1%,1.3,0.0
Gard-Webb,179-165-0,52.0%,2.1,+1.8
WI-Milwkee,217-201-0,51.9%,0.9,-0.1
Northwestern,207-192-0,51.9%,1.5,0.0
Jksnville St,186-173-0,51.8%,1.6,+0.9
Bellarmine,29-27-0,51.8%,2.6,-1.3
Fairfield,209-196-0,51.6%,0.2,-0.1
Penn St,211-198-0,51.6%,0.7,+0.5
Central Conn,181-170-0,51.6%,0.5,-1.6
Bryant,100-94-0,51.6%,0.2,+0.6
Bradley,222-209-0,51.5%,1.1,+0.3
Lipscomb,190-179-0,51.5%,0.8,+1.0
Evansville,191-180-0,51.5%,0.4,+0.1
Rutgers,199-189-0,51.3%,1.5,0.0
Troy,204-194-0,51.3%,1.1,+0.2
Coastal Car,213-203-0,51.2%,2.5,-0.3
Miss Val St,131-125-0,51.2%,0.2,-1.8
Furman,218-208-0,51.2%,2.3,+0.2
Lafayette,187-179-0,51.1%,-0.4,0.0
Mercer,213-204-0,51.1%,0.4,-0.1
IPFW,169-162-0,51.1%,1.7,+1.0
Colgate,203-196-0,50.9%,0.9,+1.3
W Michigan,208-201-0,50.9%,0.8,0.0
Albany,185-179-0,50.8%,0.2,-1.1
N Florida,129-125-0,50.8%,-0.8,+1.0
Nicholls,173-168-0,50.7%,-0.5,-0.9
N Alabama,40-39-0,50.6%,2.4,+2.3
Fla Atlantic,177-174-0,50.4%,1.1,+0.5
Maryland BC,176-173-0,50.4%,-0.8,+1.4
CS Fullerton,189-186-0,50.4%,0.6,-0.6
Wash State,194-191-0,50.4%,1.3,-0.3
AR Lit Rock,205-205-0,50.0%,0.3,-0.5
U Mass,215-215-0,50.0%,-0.4,-0.5
James Mad,194-194-0,50.0%,0.1,-0.5
St. Thomas,24-24-0,50.0%,4.0,+1.0
Manhattan,192-193-0,49.9%,0.4,+0.1
Duquesne,174-175-0,49.9%,-0.1,-0.3
McNeese St,179-180-0,49.9%,0.8,+0.2
S Florida,181-182-0,49.9%,0.8,+0.1
Delaware St,150-151-0,49.8%,-0.8,-0.8
Niagara,204-206-0,49.8%,-0.2,0.0
GA Southern,203-205-0,49.8%,0.6,+0.2
GA Tech,216-219-0,49.7%,1.7,-0.2
Lamar,186-189-0,49.6%,1.1,-0.2
Holy Cross,187-190-0,49.6%,0.0,-2.0
N Arizona,183-186-0,49.6%,0.5,-0.1
Jacksonville,186-190-0,49.5%,-1.1,0.0
S Car State,178-182-0,49.4%,-1.4,+1.5
Morgan St,168-172-0,49.4%,0.4,-1.8
Arkansas St,202-207-0,49.4%,0.9,0.0
San Diego,194-199-0,49.4%,0.1,+0.1
TN Tech,196-202-0,49.3%,0.2,-0.9
Cornell,160-165-0,49.2%,0.6,-0.7
IL-Chicago,184-190-0,49.2%,-0.1,-0.1
High Point,184-190-0,49.2%,-0.2,-1.9
Oregon St,179-185-0,49.2%,1.2,+0.1
Grambling St,141-146-0,49.1%,-1.5,+1.6
Air Force,175-183-0,48.9%,1.1,-0.2
SE Louisiana,178-187-0,48.8%,-0.5,-0.6
Coppin St,146-154-0,48.7%,-0.8,-2.0
TN Martin,156-165-0,48.6%,-0.6,-1.1
F Dickinson,162-172-0,48.5%,-0.3,+0.8
Marist,158-168-0,48.5%,-0.6,+0.1
Longwood,114-122-0,48.3%,-0.8,+1.6
Pepperdine,178-191-0,48.2%,-0.9,-0.3
Prairie View,150-161-0,48.2%,-1.2,+1.0
CS Bakersfld,109-117-0,48.2%,-0.1,-0.1
IU Indy,163-175-0,48.2%,-0.4,-1.2
Denver,159-173-0,47.9%,-0.2,-0.3
Miami (OH),191-209-0,47.8%,-0.1,-0.7
Towson,162-179-0,47.5%,0.0,+1.0
