Team,Win-Loss Record,Win %,MOV,ATS +/-
Drake,55-60-0,47.8%,0.1,+0.9
Canisius,33-36-0,47.8%,-1.0,+0.4
Cal St Nrdge,32-35-0,47.8%,-0.8,+0.1
Stony Brook,21-23-0,47.7%,-1.2,+1.0
WI-Milwkee,31-34-0,47.7%,-0.8,-0.6
Troy,40-44-0,47.6%,1.0,-0.2
Geo Wshgtn,50-55-0,47.6%,-1.9,-0.7
Missouri,65-72-0,47.5%,-0.7,-0.4
GA Southern,37-41-0,47.4%,-0.7,-0.4
App State,37-41-0,47.4%,0.3,+0.9
Indiana St,51-57-0,47.2%,-2.0,-0.8
Binghamton,16-18-0,47.1%,-3.1,+2.4
S Utah,31-35-0,47.0%,-2.4,+0.2
Loyola-MD,22-25-0,46.8%,-2.7,-2.5
James Mad,36-41-0,46.8%,-1.0,-0.2
Bryant,7-8-0,46.7%,-4.7,-3.9
Texas A&M,62-71-0,46.6%,-0.3,-0.1
Missouri St,48-55-0,46.6%,0.2,+0.4
Old Dominion,48-56-0,46.2%,-1.1,-2.1
Jacksonville,18-21-0,46.2%,0.1,-0.5
Jackson St,30-35-0,46.2%,-2.8,-2.3
Charlotte,47-55-0,46.1%,-2.5,-1.4
Middle Tenn,46-54-0,46.0%,-1.6,-0.3
WI-Grn Bay,27-32-0,45.8%,0.0,+1.1
NC-Asheville,27-32-0,45.8%,-0.9,+0.7
South Dakota,27-32-0,45.8%,-1.4,-2.2
UNLV,32-38-0,45.7%,-1.0,+0.6
Siena,32-38-0,45.7%,-1.4,+0.5
High Point,21-25-0,45.7%,-2.4,-2.6
E Carolina,31-37-0,45.6%,-1.1,+3.1
Maryland BC,20-24-0,45.5%,-1.3,+1.4
Cornell,20-24-0,45.5%,0.5,+2.5
Boston U,25-30-0,45.5%,-1.1,+1.1
UAB,53-64-0,45.3%,-1.6,-0.7
LSU,53-64-0,45.3%,-1.4,-2.3
Liberty,38-46-0,45.2%,-2.1,-0.9
Illinois St,42-51-0,45.2%,-2.0,-1.0
Neb Omaha,14-17-0,45.2%,-1.0,+1.6
Alabama St,36-44-0,45.0%,-1.5,+1.1
Fla Atlantic,36-44-0,45.0%,-0.5,+0.1
Northwestern,40-49-0,44.9%,-1.4,+0.2
N Florida,13-16-0,44.8%,-2.6,-0.2
Boston Col,56-69-0,44.8%,-2.1,-0.2
IL-Chicago,30-37-0,44.8%,-0.4,+3.1
CS Bakersfld,17-21-0,44.7%,-0.8,-0.5
San Francisco,41-51-0,44.6%,0.9,+1.0
Vanderbilt,49-61-0,44.6%,0.2,-0.6
Bowling Grn,28-35-0,44.4%,-0.1,-1.7
NW State,23-29-0,44.2%,-3.0,-1.8
Texas Tech,53-67-0,44.2%,-0.8,-0.9
