Team,Win-Loss Record,Win %,MOV,ATS +/-
Lipscomb,111-83-0,57.2%,5.3,+0.2
Iowa,141-106-0,57.1%,4.1,0.0
Wash State,105-79-0,57.1%,2.5,-0.7
Seattle,81-61-0,57.0%,5.6,-1.2
Toledo,127-96-0,57.0%,4.4,+0.5
Pacific,103-78-0,56.9%,3.8,-2.1
AR Lit Rock,121-92-0,56.8%,4.4,-1.3
Minnesota,151-115-0,56.8%,3.7,+0.7
Florida St,143-109-0,56.8%,1.7,-0.9
NC Central,93-71-0,56.7%,11.6,+3.4
High Point,123-94-0,56.7%,7.5,+0.8
McNeese St,136-104-0,56.7%,6.5,+2.5
Bellarmine,17-13-0,56.7%,14.1,-0.9
Wake Forest,149-114-0,56.7%,2.3,+0.4
Providence,133-102-0,56.6%,3.0,0.0
Central Mich,120-92-0,56.6%,4.2,-0.7
Hampton,116-89-0,56.6%,3.2,-0.1
Illinois St,113-87-0,56.5%,3.0,-0.2
E Illinois,101-78-0,56.4%,5.2,-0.5
Clemson,154-119-0,56.4%,3.8,+0.8
St Johns,137-106-0,56.4%,2.8,+0.3
IPFW,98-76-0,56.3%,8.3,-0.3
Liberty,158-123-0,56.2%,6.2,-0.2
Oregon St,104-81-0,56.2%,4.0,-0.1
WI-Milwkee,124-97-0,56.1%,3.9,+1.0
Austin Peay,111-87-0,56.1%,4.4,-0.7
Rice,102-80-0,56.0%,4.2,+0.3
SE Missouri,112-88-0,56.0%,4.6,+1.1
U Mass,124-98-0,55.9%,1.6,+0.1
San Diego,101-80-0,55.8%,3.6,-0.2
Montana St,111-88-0,55.8%,6.1,-1.0
New Orleans,116-92-0,55.8%,3.6,+0.3
Geo Wshgtn,122-97-0,55.7%,1.9,-0.6
Texas Tech,118-94-0,55.7%,3.9,-0.2
UTSA,119-95-0,55.6%,4.5,-0.1
Evansville,125-100-0,55.6%,1.8,-1.1
Merrimack,15-12-0,55.6%,4.4,-2.4
Bucknell,97-78-0,55.4%,2.1,+0.2
Marshall,103-83-0,55.4%,5.5,-0.3
Vanderbilt,104-84-0,55.3%,3.2,-0.8
TN Tech,120-97-0,55.3%,7.6,-1.7
Buffalo,122-99-0,55.2%,4.3,+1.0
IU Indy,103-84-0,55.1%,3.6,+0.7
California,93-76-0,55.0%,1.7,-1.2
Drake,127-104-0,55.0%,4.3,+0.1
UC Riverside,94-77-0,55.0%,4.3,+0.4
TX Christian,128-105-0,54.9%,3.3,-1.4
E Kentucky,123-101-0,54.9%,7.1,-0.4
Jksnville St,114-94-0,54.8%,4.7,+0.4
Boston Col,137-113-0,54.8%,0.3,-0.5
VA Tech,144-119-0,54.8%,3.1,-0.3
Saint Louis,127-105-0,54.7%,2.2,+0.1
Cal St Nrdge,117-97-0,54.7%,3.8,+0.3
Boston U,107-89-0,54.6%,2.1,+1.0
Georgia,108-90-0,54.6%,1.2,-0.1
CS Fullerton,114-95-0,54.6%,4.9,-0.4
Delaware,99-83-0,54.4%,0.8,-1.6
Lehigh,94-79-0,54.3%,4.2,+0.1
NC-Grnsboro,115-97-0,54.3%,3.5,+0.6
Norfolk St,128-108-0,54.2%,2.8,+1.3
Mercer,116-98-0,54.2%,3.3,+2.4
Neb Omaha,62-53-0,53.9%,2.9,-2.5
Portland,104-89-0,53.9%,2.0,0.0
Brown,84-72-0,53.9%,1.3,+0.5
Seton Hall,143-123-0,53.8%,2.3,-0.1
Citadel,129-111-0,53.8%,6.0,-0.6
NC-Wilmgton,110-95-0,53.7%,3.1,-0.4
W Michigan,111-96-0,53.6%,3.2,-0.6
Denver,97-84-0,53.6%,0.9,-0.4
GA Tech,135-117-0,53.6%,3.1,+0.3
Longwood,100-87-0,53.5%,3.3,+0.6
Kansas City,95-83-0,53.4%,5.0,-1.2
S Carolina,107-95-0,53.0%,2.3,-2.1
S Utah,116-103-0,53.0%,3.6,-0.4
Colgate,100-89-0,52.9%,3.1,+0.6
CS Bakersfld,83-74-0,52.9%,3.5,-0.1
NW State,112-100-0,52.8%,1.9,-2.6
Rider,133-119-0,52.8%,1.3,+0.1
Air Force,119-107-0,52.7%,2.7,-1.4
E Michigan,110-99-0,52.6%,3.9,-1.0
Gard-Webb,102-92-0,52.6%,5.9,+0.6
Miami (OH),112-101-0,52.6%,2.0,-0.8
Troy,114-103-0,52.5%,4.9,-1.0
St Bonavent,107-97-0,52.5%,-0.4,-0.7
Niagara,112-102-0,52.3%,0.6,+0.7
WI-Grn Bay,116-106-0,52.3%,2.8,-1.0
UL Monroe,97-89-0,52.2%,4.3,-1.0
VMI,128-118-0,52.0%,6.8,-1.1
W Carolina,116-107-0,52.0%,6.3,-0.8
Navy,91-84-0,52.0%,2.9,+1.4
Drexel,84-78-0,51.9%,1.4,-2.2
Cornell,85-79-0,51.8%,4.0,+1.3
Fla Atlantic,114-106-0,51.8%,2.0,+0.4
Indiana St,115-107-0,51.8%,1.8,+0.1
TX-Pan Am,131-122-0,51.8%,3.5,-0.8
Lafayette,89-83-0,51.7%,2.2,-2.6
Arizona St,93-87-0,51.7%,1.3,-1.5
Stony Brook,105-99-0,51.5%,2.5,-2.0
TN Martin,103-99-0,51.0%,4.0,-1.4
Youngs St,110-106-0,50.9%,4.5,-1.5
Elon,106-103-0,50.7%,2.8,-0.3
Albany,100-98-0,50.5%,0.5,-1.1
Columbia,86-85-0,50.3%,3.4,-0.4
Rhode Island,114-113-0,50.2%,0.6,-1.4
Manhattan,121-120-0,50.2%,0.4,-1.0
N Florida,72-72-0,50.0%,1.3,+1.2
Nicholls,110-111-0,49.8%,1.6,-0.9
Florida Intl,110-112-0,49.6%,1.3,-0.4
Detroit,95-97-0,49.5%,3.3,+0.1
Wm & Mary,80-82-0,49.4%,3.8,-0.9
UC Davis,75-77-0,49.3%,1.1,-0.1
Charl South,126-130-0,49.2%,5.9,+1.2
Campbell,105-110-0,48.8%,2.3,-1.0
Tulane,114-121-0,48.5%,1.6,-0.6
Presbyterian,65-69-0,48.5%,5.0,+0.6
Loyola Mymt,81-86-0,48.5%,-0.3,-2.0
Yale,81-87-0,48.2%,5.0,+1.1
Pepperdine,80-86-0,48.2%,1.2,+0.1
Northwestern,124-134-0,48.1%,1.0,-0.2
Penn St,122-133-0,47.8%,1.1,+0.4
Nebraska,111-121-0,47.8%,0.6,-0.6
Quinnipiac,97-106-0,47.8%,0.4,-1.1
Northeastrn,87-96-0,47.5%,0.0,+0.1
U Penn,83-92-0,47.4%,-0.6,-1.4
Central Conn,83-92-0,47.4%,-0.7,+1.4
W Illinois,100-111-0,47.4%,3.3,-1.5
NJIT,71-79-0,47.3%,2.9,-1.1
N Illinois,85-95-0,47.2%,0.4,-0.6
IL-Chicago,101-113-0,47.2%,1.1,0.0
NC A&T,92-103-0,47.2%,0.1,+0.2
Rutgers,131-147-0,47.1%,0.4,-0.2
Kennesaw St,63-71-0,47.0%,1.3,-0.3
Maine,106-120-0,46.9%,1.9,-3.0
N Hampshire,102-116-0,46.8%,1.9,+1.2
Duquesne,114-130-0,46.7%,-0.2,-0.8
American,74-85-0,46.5%,-1.7,-0.6
S Car State,100-115-0,46.5%,-2.9,-0.1
Idaho St,90-104-0,46.4%,0.9,-0.5
SC Upstate,68-79-0,46.3%,3.1,+0.5
E Carolina,110-128-0,46.2%,0.7,-1.6
Stonehill,6-7-0,46.2%,2.3,+1.7
Southern,92-108-0,46.0%,1.4,-2.0
Fairfield,106-125-0,45.9%,-0.9,-0.8
Jackson St,83-98-0,45.9%,-2.1,-0.3
Sac State,96-114-0,45.7%,0.5,-2.5
Monmouth,88-105-0,45.6%,-2.7,+0.3
TN State,96-115-0,45.5%,0.7,-1.3
Canisius,99-119-0,45.4%,-1.0,-0.7
Stetson,96-117-0,45.1%,-0.2,-2.2
San Jose St,103-126-0,45.0%,-1.3,-1.0
La Salle,85-104-0,45.0%,-0.7,-0.2
Rob Morris,75-93-0,44.6%,0.7,-1.8
Cal Poly,87-108-0,44.6%,-0.6,-1.9
Prairie View,82-103-1,44.3%,-3.0,-1.1
Towson,77-97-0,44.3%,-0.6,-1.2
Idaho,90-114-0,44.1%,1.4,-2.2
Holy Cross,66-84-0,44.0%,-1.0,-0.8
Alabama St,84-107-0,44.0%,-2.9,-1.9
St Peters,113-144-0,44.0%,-2.3,+0.3
TX Southern,83-106-0,43.9%,-2.1,-0.2
Lindenwood,7-9-0,43.8%,10.5,-2.9
F Dickinson,83-107-0,43.7%,-1.0,-0.9
Morgan St,89-115-0,43.6%,-0.7,+0.1
Hsn Christian,56-73-0,43.4%,1.6,-1.2
DePaul,104-138-0,43.0%,-3.0,-1.1
Coppin St,83-111-0,42.8%,-4.4,-0.6
Grambling St,93-125-0,42.7%,-4.1,-1.2
Maryland BC,95-129-0,42.4%,-1.2,+1.4
Army,84-115-0,42.2%,-0.4,-3.0
Beth-Cook,84-117-0,41.8%,-2.0,-2.6
Florida A&M,82-116-0,41.4%,-5.8,+0.8
S Florida,108-153-0,41.4%,-2.3,-1.2
Central Ark,57-81-0,41.3%,-1.2,-3.4
SIU Edward,45-66-0,40.5%,-0.1,-1.9
Binghamton,68-101-0,40.2%,-2.3,+2.4
Dartmouth,73-110-0,39.9%,0.9,-0.1
Alab A&M,76-115-0,39.8%,-5.9,+0.9
Howard,75-117-0,39.1%,-3.7,+0.7
Marist,94-148-0,38.8%,-3.4,-0.2
Bryant,38-61-0,38.4%,-3.4,-2.4
Fordham,78-132-0,37.1%,-3.8,-0.9
Mt St Marys,70-120-0,36.8%,-3.9,-0.7
Chicago St,80-139-0,36.5%,-4.5,-1.4
Loyola-MD,71-125-0,36.2%,-4.4,-1.2
Maryland ES,70-124-0,36.1%,-6.2,+0.3
Alcorn St,71-126-0,36.0%,-5.8,-3.2
St Fran (PA),59-105-0,36.0%,-2.9,+0.6
Delaware St,76-138-0,35.5%,-4.0,-2.4
Sacred Hrt,52-95-1,35.4%,-3.4,+0.6
LIU,11-22-0,33.3%,-4.1,-1.4
Ark Pine Bl,47-120-0,28.1%,-10.1,-2.5
Miss Val St,40-125-0,24.2%,-11.5,+0.1
