Team,Win-Loss Record,Win %,MOV,ATS +/-
IU Indy,110-269-0,29.0%,-7.5,-1.0
Wash State,93-228-0,29.0%,-7.5,-0.6
High Point,109-268-0,28.9%,-7.1,-1.6
St. Thomas,13-32-0,28.9%,-5.0,-0.2
Army,113-279-0,28.8%,-8.1,-0.1
SE Louisiana,117-292-0,28.6%,-8.4,+0.3
Southern,121-303-0,28.5%,-8.1,0.0
S Car State,123-308-0,28.5%,-10.1,-0.6
Columbia,100-253-0,28.3%,-6.6,+0.7
Sacred Hrt,116-294-2,28.3%,-7.1,-0.6
Wm & Mary,111-282-0,28.2%,-6.9,+0.1
Jackson St,134-341-0,28.2%,-8.4,+0.5
Kansas City,108-275-0,28.2%,-8.2,+0.1
Maine,117-298-0,28.2%,-8.5,-0.8
Iowa St,82-209-0,28.2%,-6.0,-0.6
TX A&M-Com,12-31-0,27.9%,-10.3,0.0
Bryant,72-187-1,27.8%,-8.9,-1.1
S Florida,90-234-0,27.8%,-6.4,+0.7
GA Tech,86-225-0,27.7%,-5.6,+0.7
DePaul,89-233-0,27.6%,-8.0,+0.2
CS Bakersfld,74-194-0,27.6%,-7.4,+1.2
Loyola-MD,113-297-0,27.6%,-7.4,+0.8
TX Christian,84-221-0,27.5%,-7.1,-0.7
Bradley,94-249-0,27.4%,-6.5,-1.1
E Illinois,110-292-0,27.4%,-7.5,+0.4
Alabama St,113-302-0,27.2%,-9.0,-1.5
Lamar,109-294-0,27.1%,-8.1,-0.7
Morgan St,112-303-1,27.0%,-8.9,-1.6
Fla Atlantic,105-284-0,27.0%,-7.9,-0.4
Elon,101-274-0,26.9%,-9.0,+0.6
Duquesne,88-239-0,26.9%,-7.4,-0.1
Binghamton,93-254-0,26.8%,-9.2,+0.6
Rice,91-251-0,26.6%,-9.0,-0.6
Idaho,103-285-0,26.6%,-7.8,+1.1
McNeese St,108-299-0,26.5%,-8.3,+0.8
New Orleans,98-273-0,26.4%,-9.1,-0.9
N Hampshire,107-298-0,26.4%,-8.4,-0.3
Central Mich,103-287-0,26.4%,-8.6,-0.5
Youngs St,104-290-0,26.4%,-7.8,-0.4
Nicholls,111-310-0,26.4%,-10.9,-0.2
SE Missouri,103-290-0,26.2%,-7.7,+0.1
Loyola Mymt,94-265-0,26.2%,-8.7,+0.5
Northwestern,78-220-0,26.2%,-8.0,+0.5
W Carolina,106-299-0,26.2%,-9.4,-0.2
Beth-Cook,108-308-0,26.0%,-10.0,-2.1
Stetson,105-300-0,25.9%,-9.9,+0.1
Minnesota,75-216-0,25.8%,-7.0,-1.1
North Dakota,60-174-0,25.6%,-9.2,-0.4
N Florida,83-241-0,25.6%,-10.5,0.0
Coppin St,119-347-0,25.5%,-11.3,-0.5
Neb Omaha,54-159-0,25.4%,-10.3,-0.9
TN Martin,106-314-0,25.2%,-10.0,-0.6
N Alabama,26-77-0,25.2%,-9.3,0.0
Campbell,97-288-0,25.2%,-8.7,+1.0
Evansville,90-270-0,25.0%,-8.7,-1.7
Penn St,76-228-0,25.0%,-8.0,+0.1
Queens,9-27-0,25.0%,-7.3,-1.5
Delaware St,109-328-0,24.9%,-11.5,-2.2
NJIT,68-208-0,24.6%,-10.2,+0.5
TN State,103-316-0,24.6%,-8.6,-0.1
SC Upstate,68-209-0,24.6%,-9.3,+0.6
UC Riverside,86-265-0,24.5%,-8.8,0.0
Tulane,75-232-0,24.4%,-8.3,-0.2
Alcorn St,112-349-0,24.3%,-12.8,-1.7
N Illinois,94-293-0,24.3%,-8.0,+0.6
S Indiana,8-25-0,24.2%,-7.0,+0.6
Portland,83-260-0,24.2%,-9.3,-0.5
UL Monroe,97-304-0,24.2%,-10.2,-0.3
UCSD,17-54-0,23.9%,-10.1,+0.4
Florida Intl,88-281-0,23.9%,-8.5,-0.4
St Fran (PA),101-323-0,23.8%,-9.2,-0.5
Grambling St,102-332-0,23.5%,-13.6,+0.8
E Michigan,89-290-0,23.5%,-9.2,-0.9
Incar Word,36-118-0,23.4%,-10.7,-0.6
S Utah,90-297-0,23.3%,-8.9,+0.3
Denver,84-280-0,23.1%,-8.5,-1.5
Rutgers,70-234-0,23.0%,-8.8,-0.7
Air Force,75-253-0,22.9%,-8.4,-0.1
Oregon St,72-246-0,22.6%,-8.1,-0.4
Cal Poly,85-296-0,22.3%,-9.0,-0.6
VMI,86-300-0,22.3%,-11.2,-1.2
Nebraska,67-240-0,21.8%,-9.3,-1.3
W Illinois,82-294-0,21.8%,-10.0,-0.7
Prairie View,99-355-2,21.8%,-12.7,0.0
Alab A&M,85-305-0,21.8%,-11.4,-2.3
Utah Tech,13-47-0,21.7%,-10.9,-1.0
Citadel,79-288-0,21.5%,-11.8,-0.3
Charl South,84-310-0,21.3%,-10.0,-0.3
NC A&T,88-347-0,20.2%,-11.9,-1.0
Le Moyne,5-20-0,20.0%,-11.3,+2.9
W Georgia,1-4-0,20.0%,-18.8,-4.3
Longwood,63-253-0,19.9%,-12.8,+0.1
E Carolina,63-254-0,19.9%,-9.6,-1.4
Florida A&M,88-356-0,19.8%,-13.0,+0.5
Fordham,66-270-0,19.6%,-11.3,-0.9
LIU,15-62-0,19.5%,-11.8,-1.9
Idaho St,76-319-0,19.2%,-10.2,-0.2
SIU Edward,45-189-0,19.2%,-12.4,-0.8
Sac State,74-313-0,19.1%,-11.3,-0.7
Dartmouth,69-298-0,18.8%,-9.3,+0.2
Howard,76-333-0,18.6%,-12.6,-2.3
Ark Pine Bl,89-404-0,18.1%,-16.0,-0.7
Miss Val St,83-391-0,17.5%,-15.6,-2.3
San Jose St,64-304-0,17.4%,-11.8,-0.7
Maryland ES,76-362-0,17.4%,-14.9,-0.4
Kennesaw St,51-243-0,17.4%,-12.3,-1.1
Presbyterian,48-234-0,17.0%,-12.2,-0.8
TX-Pan Am,66-327-0,16.8%,-12.8,-1.2
Central Ark,46-240-0,16.1%,-14.4,-2.1
Stonehill,6-33-0,15.4%,-13.5,-1.7
Lindenwood,5-29-0,14.7%,-16.4,-1.5
Hsn Christian,35-221-0,13.7%,-15.0,-0.6
Chicago St,51-399-0,11.3%,-17.8,-2.0
