Team,Win-Loss Record,Win %,MOV,ATS +/-
Rhode Island,97-288-0,25.2%,-7.5,-0.2
American,49-146-0,25.1%,-8.3,-0.2
Cleveland St,111-331-0,25.1%,-8.5,-0.4
Colorado,91-272-0,25.1%,-7.9,-0.6
Nebraska,113-338-0,25.1%,-8.5,-0.5
Fla Atlantic,71-213-0,25.0%,-7.8,+0.5
St. Thomas,11-33-0,25.0%,-5.9,+2.0
St Marys,58-175-0,24.9%,-8.8,-1.3
N Alabama,28-85-0,24.8%,-9.1,+0.8
N Colorado,55-167-0,24.8%,-7.1,+1.0
San Francisco,89-271-0,24.7%,-8.0,+0.2
TX El Paso,83-253-0,24.7%,-6.8,0.0
Navy,33-101-0,24.6%,-7.9,+0.6
NC-Grnsboro,90-276-0,24.6%,-8.5,+0.6
Sacred Hrt,30-92-0,24.6%,-8.7,-0.5
California,98-301-0,24.6%,-8.3,-0.9
Austin Peay,88-271-0,24.5%,-8.8,-0.6
Wake Forest,96-296-0,24.5%,-8.3,-0.4
Morehead St,86-266-0,24.4%,-9.1,+0.2
U Penn,75-232-0,24.4%,-8.6,-0.2
Illinois St,94-291-0,24.4%,-6.8,0.0
Toledo,81-251-0,24.4%,-7.7,-0.2
S Indiana,10-31-0,24.4%,-6.5,+1.9
Missouri,89-276-0,24.4%,-7.8,-0.8
Brown,89-276-0,24.4%,-8.2,+0.7
New Mexico,69-214-0,24.4%,-6.9,-0.3
Towson,97-301-0,24.4%,-8.7,+0.4
Queens,9-28-0,24.3%,-7.5,-0.8
Seattle,34-106-0,24.3%,-7.7,-0.3
BYU,57-179-0,24.2%,-7.1,-0.9
NC-Asheville,31-98-0,24.0%,-10.3,-0.4
Neb Omaha,54-171-0,24.0%,-10.3,-0.5
IL-Chicago,116-369-0,23.9%,-7.7,0.0
Utah Tech,20-64-0,23.8%,-9.9,-0.7
Pacific,87-279-0,23.8%,-8.6,-0.5
Samford,78-251-0,23.7%,-8.7,-0.4
Northwestern,109-351-0,23.7%,-8.4,+0.1
Elon,95-306-0,23.7%,-9.0,+0.1
Wm & Mary,103-332-0,23.7%,-8.5,0.0
TX A&M-CC,31-100-0,23.7%,-7.6,+1.6
Ste F Austin,17-55-0,23.6%,-8.5,-1.7
Jacksonville,38-123-0,23.6%,-8.7,+0.4
Winthrop,25-81-0,23.6%,-7.7,+0.6
NC A&T,36-117-0,23.5%,-10.5,+0.4
Central Mich,116-377-0,23.5%,-9.1,-0.5
Louisville,56-183-0,23.4%,-7.1,-0.4
SC Upstate,44-144-0,23.4%,-9.2,+0.8
Rutgers,110-360-0,23.4%,-8.5,-0.3
Norfolk St,28-92-0,23.3%,-10.5,+0.2
Binghamton,42-138-0,23.3%,-10.3,+0.2
Florida A&M,41-135-0,23.3%,-10.7,+1.9
