Team,Win-Loss Record,Win %,MOV,ATS +/-
Nebraska,420-432-0,49.3%,0.5,-0.1
Niagara,411-423-0,49.3%,-0.7,0.0
Texas St,404-416-0,49.3%,1.0,+0.2
Mercer,419-432-0,49.2%,0.5,-0.1
Lehigh,396-409-0,49.2%,0.1,0.0
Colgate,400-415-0,49.1%,0.3,+1.4
Quinnipiac,382-398-0,49.0%,-0.4,-0.3
Northeastrn,406-423-0,49.0%,-0.3,-0.3
W Michigan,411-430-0,48.9%,0.1,-0.2
Troy,400-425-0,48.5%,0.3,0.0
Cleveland St,413-440-0,48.4%,-0.5,-0.4
TN Tech,402-432-0,48.2%,0.2,-0.5
Fairfield,406-438-0,48.1%,-0.8,-0.5
Penn St,414-447-0,48.1%,-0.3,+0.4
Mass Lowell,160-173-0,48.1%,0.5,+0.2
Gard-Webb,348-378-0,47.9%,0.4,+1.1
Miami (OH),402-437-0,47.9%,0.0,-0.2
High Point,377-410-0,47.9%,0.4,-1.1
Queens,34-37-0,47.9%,1.3,-0.1
TX Southern,407-444-0,47.8%,-1.7,-0.1
Detroit,405-445-0,47.7%,0.3,-0.4
Northwestern,400-440-0,47.6%,-0.1,0.0
N Colorado,300-330-0,47.6%,0.2,+0.1
San Diego,393-434-0,47.5%,-0.6,+0.2
Albany,365-404-0,47.5%,-0.6,+0.1
American,379-423-0,47.3%,-1.1,-0.3
Manhattan,385-430-0,47.2%,-0.6,-0.3
IPFW,335-376-0,47.1%,0.2,+0.3
James Mad,389-439-0,47.0%,-0.6,-0.6
Navy,376-426-0,46.9%,-0.5,+0.4
NW State,384-439-0,46.7%,-2.1,+0.1
CS Fullerton,377-433-0,46.5%,-0.4,-0.1
Jacksonville,377-435-0,46.4%,-1.0,+0.2
Monmouth,387-448-0,46.4%,-2.3,-0.3
Rutgers,391-454-0,46.3%,-0.7,-0.5
UTSA,381-443-0,46.2%,-0.9,+0.2
Wash State,388-454-0,46.1%,-0.5,0.0
Holy Cross,378-443-0,46.0%,-1.1,-0.7
Bellarmine,57-67-0,46.0%,-0.1,-0.5
Lamar,378-446-0,45.9%,0.1,0.0
Southern,375-447-0,45.6%,-1.0,+0.3
SE Louisiana,370-443-0,45.5%,-1.2,0.0
Lafayette,366-441-0,45.4%,-1.8,-0.7
N Arizona,370-446-0,45.3%,-1.1,-0.5
Cornell,334-403-0,45.3%,-0.8,+0.5
Jksnville St,365-442-0,45.2%,-0.3,+0.1
New Orleans,350-428-0,45.0%,-1.5,-0.7
La Salle,371-454-0,45.0%,-1.7,-0.3
McNeese St,362-446-0,44.8%,-0.6,-0.4
IL-Chicago,375-467-0,44.5%,-1.3,-0.1
Jackson St,371-464-0,44.4%,-2.9,-0.4
Pepperdine,371-467-0,44.3%,-1.9,-0.5
Evansville,372-470-0,44.2%,-1.8,-0.8
Alabama St,360-455-0,44.2%,-2.8,-0.8
Air Force,359-455-0,44.1%,-1.1,-0.1
Wm & Mary,355-454-0,43.9%,-1.4,-0.2
UC Davis,267-342-0,43.8%,-2.1,-0.1
Central Conn,352-453-0,43.7%,-2.4,-0.8
Cal St Nrdge,359-463-0,43.7%,-1.0,-0.4
Denver,344-444-0,43.7%,-1.5,-0.4
Oregon St,368-476-0,43.6%,-1.4,-0.4
S Florida,366-474-0,43.6%,-1.5,-0.3
S Car State,361-470-0,43.4%,-3.8,+0.3
W Carolina,364-476-0,43.3%,-1.8,-0.4
North Dakota,210-275-0,43.3%,-1.8,-0.2
Tulane,354-464-0,43.3%,-1.7,-0.9
Brown,320-420-0,43.2%,-2.2,+0.2
Nicholls,346-455-0,43.2%,-3.1,-0.3
Canisius,353-466-0,43.1%,-2.0,-0.5
CS Bakersfld,229-303-0,43.1%,-1.1,+0.5
Maryland BC,349-466-0,42.8%,-2.4,+1.1
Fla Atlantic,353-473-0,42.7%,-1.8,+0.3
E Michigan,353-474-0,42.7%,-2.0,-0.8
Duquesne,349-469-0,42.7%,-1.8,-0.6
Youngs St,352-473-0,42.7%,-1.4,-0.3
IU Indy,340-458-0,42.6%,-2.1,-1.2
Central Mich,348-473-0,42.4%,-2.2,-0.6
N Alabama,80-109-0,42.3%,-1.1,+0.2
N Florida,255-348-0,42.3%,-3.2,+1.1
S Utah,342-470-0,42.1%,-2.0,-0.4
E Carolina,341-469-0,42.1%,-2.0,-0.8
Mt St Marys,343-475-0,41.9%,-2.6,-0.2
Kansas City,343-475-0,41.9%,-2.1,0.0
Neb Omaha,170-236-0,41.9%,-3.3,-0.5
Rice,351-488-0,41.8%,-2.1,-0.4
E Illinois,338-470-0,41.8%,-2.3,-0.8
Columbia,307-427-0,41.8%,-1.5,-0.5
Morgan St,340-473-1,41.8%,-2.9,-1.4
St Peters,344-480-0,41.8%,-2.5,+0.5
Elon,329-461-0,41.7%,-2.7,-0.1
Towson,343-481-0,41.6%,-2.4,+0.2
F Dickinson,338-479-1,41.4%,-3.2,+0.1
Campbell,334-480-0,41.0%,-2.4,+0.2
SE Missouri,335-483-0,41.0%,-2.2,-0.3
TN State,333-482-0,40.9%,-2.7,-0.3
Beth-Cook,327-480-0,40.5%,-3.6,-0.6
UL Monroe,331-486-0,40.5%,-2.9,0.0
Florida Intl,332-491-0,40.3%,-2.5,-0.6
DePaul,337-499-0,40.3%,-2.9,-0.7
Bryant,196-291-1,40.3%,-3.6,-0.9
TN Martin,326-487-0,40.1%,-3.2,-0.9
Marist,326-488-0,40.1%,-3.1,0.0
Idaho,328-494-0,39.9%,-2.6,+0.1
Stetson,322-486-0,39.9%,-3.7,+0.2
Portland,328-498-0,39.7%,-3.2,-0.7
Alcorn St,321-498-0,39.2%,-5.5,-1.1
Charl South,315-489-0,39.2%,-1.7,-0.7
Sacred Hrt,297-461-2,39.2%,-3.3,-0.5
Army,310-483-0,39.1%,-3.6,-1.0
Loyola-MD,314-491-0,39.0%,-3.9,-0.4
Incar Word,126-197-0,39.0%,-3.4,-1.1
Loyola Mymt,317-500-0,38.8%,-4.1,-0.6
Maine,304-482-0,38.7%,-3.1,-0.6
UCSD,51-81-0,38.6%,-3.6,0.0
N Hampshire,303-484-0,38.5%,-3.4,-0.4
VMI,312-499-0,38.5%,-2.5,-1.1
Le Moyne,15-24-0,38.5%,-2.2,+3.9
SC Upstate,207-332-0,38.4%,-2.8,+0.1
UC Riverside,270-434-0,38.4%,-3.1,-0.2
Utah Tech,46-74-0,38.3%,-3.2,-0.1
Prairie View,313-505-2,38.3%,-5.4,+0.5
Alab A&M,285-462-0,38.2%,-4.6,-0.6
W Illinois,297-486-0,37.9%,-3.2,-0.8
N Illinois,303-498-0,37.8%,-3.0,-0.2
Longwood,242-401-0,37.6%,-4.6,+1.2
NJIT,204-338-0,37.6%,-3.6,-1.1
St Fran (PA),296-491-0,37.6%,-3.9,-0.8
NC A&T,309-519-0,37.3%,-4.8,-0.3
Delaware St,302-511-0,37.2%,-5.0,-1.4
TX A&M-Com,27-46-0,37.0%,-3.5,-1.1
TX-Pan Am,299-511-0,36.9%,-4.1,-0.5
Cal Poly,293-503-0,36.8%,-3.4,-0.7
Grambling St,290-504-0,36.5%,-6.8,+0.7
Coppin St,301-526-0,36.4%,-6.1,-0.9
Binghamton,251-440-0,36.3%,-4.6,+0.2
Fordham,284-508-0,35.9%,-5.2,-0.7
Citadel,292-523-0,35.8%,-3.9,-0.7
S Indiana,24-43-0,35.8%,-1.4,-1.1
Sac State,280-503-0,35.8%,-4.5,-0.6
LIU,50-90-0,35.7%,-4.9,-0.7
Florida A&M,289-524-0,35.6%,-6.8,+1.0
Idaho St,279-511-0,35.3%,-4.0,-0.5
SIU Edward,155-311-0,33.3%,-5.8,-0.4
Kennesaw St,187-397-0,32.0%,-6.0,-0.6
Presbyterian,169-364-0,31.7%,-5.1,-0.8
Miss Val St,258-556-0,31.7%,-8.8,-1.2
Howard,256-553-0,31.6%,-6.5,-1.1
Dartmouth,226-491-0,31.5%,-4.7,-0.5
Lindenwood,21-46-0,31.3%,-6.2,-1.1
Hsn Christian,155-344-0,31.1%,-6.4,-1.2
Central Ark,170-379-0,31.0%,-6.6,-1.2
San Jose St,249-563-0,30.7%,-6.3,-0.9
Stonehill,19-46-0,29.2%,-7.8,-1.7
Ark Pine Bl,236-572-0,29.2%,-9.9,-0.6
Maryland ES,225-557-0,28.8%,-8.9,-0.7
Mercyhurst,1-3-0,25.0%,-12.8,+7.3
Chicago St,198-601-0,24.8%,-10.8,-1.6
W Georgia,1-4-0,20.0%,-18.8,-4.3
