Team,Win-Loss Record,Win %,MOV,ATS +/-
Cornell,158-226-0,41.2%,-2.1,+1.4
TX A&M-Com,16-23-0,41.0%,-1.8,0.0
Denver,162-233-0,41.0%,-2.0,-0.2
Lafayette,169-244-0,40.9%,-2.7,-1.5
Utah Tech,27-39-0,40.9%,-4.1,+0.6
Cal St Nrdge,178-260-0,40.6%,-1.6,-0.9
Lamar,171-250-0,40.6%,-1.7,+0.3
Boston Col,163-239-0,40.6%,-3.1,-0.3
Pepperdine,178-262-0,40.5%,-2.8,-0.5
Youngs St,180-266-0,40.4%,-2.1,0.0
CS Bakersfld,113-167-0,40.4%,-1.7,+1.2
Beth-Cook,183-271-0,40.3%,-4.2,-0.9
IL-Chicago,177-263-0,40.2%,-2.6,-0.2
NW State,166-248-0,40.1%,-4.2,-0.1
Jksnville St,168-252-0,40.0%,-2.3,-0.4
Rutgers,171-258-0,39.9%,-3.4,-0.7
Kansas City,178-270-0,39.7%,-3.1,-0.2
Rice,183-278-0,39.7%,-3.1,+0.3
Mt St Marys,179-272-0,39.7%,-3.5,+0.4
Wash State,170-259-0,39.6%,-3.1,+0.2
S Car State,175-267-0,39.6%,-5.6,-0.7
UC Riverside,157-240-0,39.6%,-2.7,+0.2
St Peters,179-274-0,39.5%,-3.3,0.0
Sacred Hrt,168-258-1,39.4%,-3.4,+0.8
E Carolina,174-269-0,39.3%,-3.9,-1.2
S Utah,175-271-0,39.2%,-2.9,-0.1
N Hampshire,179-278-0,39.2%,-3.4,+0.6
Columbia,160-249-0,39.1%,-2.1,-0.1
Campbell,176-276-0,38.9%,-3.5,+1.2
Idaho,182-286-0,38.9%,-3.1,+0.2
E Illinois,172-272-0,38.7%,-2.7,-1.4
SE Missouri,176-280-0,38.6%,-2.7,-0.8
Air Force,165-263-0,38.6%,-3.6,-0.1
Tulane,168-268-0,38.5%,-3.5,-1.1
Nicholls,166-266-0,38.4%,-4.5,+0.2
Elon,167-268-0,38.4%,-3.8,0.0
Lindenwood,16-26-0,38.1%,-1.2,-1.5
Charl South,176-286-0,38.1%,-2.6,-1.2
Alabama St,163-265-0,38.1%,-5.1,-1.1
Southern,160-261-0,38.0%,-4.0,-0.6
Jackson St,166-271-0,38.0%,-4.9,-1.0
Central Mich,169-276-0,38.0%,-3.7,-0.9
IU Indy,164-268-0,38.0%,-3.7,-1.2
Loyola Mymt,179-294-0,37.8%,-5.1,-0.4
Central Conn,161-265-0,37.8%,-4.6,-0.2
S Indiana,15-25-0,37.5%,-0.5,-1.5
TN State,170-284-0,37.4%,-3.8,-0.4
N Florida,121-203-0,37.4%,-4.4,+1.1
Stetson,171-289-0,37.2%,-4.7,+0.3
UL Monroe,171-289-0,37.2%,-3.6,+0.1
Morgan St,165-279-1,37.2%,-4.8,-0.8
Loyola-MD,172-291-0,37.2%,-4.5,-0.5
Fla Atlantic,166-281-0,37.1%,-4.1,+0.1
Florida Intl,173-293-0,37.1%,-3.1,-0.7
N Alabama,36-61-0,37.1%,-3.3,-1.6
Evansville,164-279-0,37.0%,-4.0,-1.5
F Dickinson,168-286-1,37.0%,-4.7,-0.1
Towson,168-286-0,37.0%,-4.1,-0.5
Oregon St,167-285-0,37.0%,-4.3,-0.6
TX Southern,155-265-0,36.9%,-4.7,+1.4
Idaho St,180-308-0,36.9%,-3.7,-0.4
Maryland BC,161-276-0,36.8%,-3.8,+1.0
N Illinois,174-302-0,36.6%,-3.1,-0.1
S Florida,164-285-0,36.5%,-4.0,-0.7
Army,166-289-0,36.5%,-4.0,-0.4
VMI,171-302-0,36.2%,-3.2,-1.1
SC Upstate,113-200-0,36.1%,-2.8,-0.1
Portland,169-304-0,35.7%,-4.4,-0.1
Duquesne,156-285-0,35.4%,-4.2,-1.0
Alab A&M,154-285-0,35.1%,-6.3,-0.9
NJIT,110-208-0,34.6%,-4.8,-0.8
