Team,Win-Loss Record,Win %,MOV,ATS +/-
Santa Clara,237-244-0,49.3%,-1.3,-0.2
Northeastrn,251-259-0,49.2%,-0.5,-0.8
Furman,218-225-0,49.2%,0.3,+0.6
Boston Col,170-176-0,49.1%,0.3,+0.8
San Francisco,234-243-0,49.1%,-0.3,-0.1
Charlotte,236-245-0,49.1%,-0.4,-1.0
Illinois St,238-248-0,49.0%,-0.2,-0.5
Samford,235-245-0,49.0%,-0.8,-0.5
Albany,186-194-0,49.0%,-0.3,+1.1
Morehead St,229-240-0,48.8%,-1.3,+0.2
Quinnipiac,194-204-0,48.7%,-0.8,-0.9
GA Southern,222-234-0,48.7%,-0.8,+0.5
Mercer,229-242-0,48.6%,-0.2,-0.5
IPFW,173-183-0,48.6%,-1.5,+0.5
U Mass,191-202-0,48.6%,-0.4,-0.8
Detroit,221-234-0,48.6%,-0.3,-0.3
Cal Baptist,41-44-0,48.2%,0.8,-0.9
App State,206-221-0,48.2%,-0.5,+0.1
Alabama St,242-260-0,48.2%,-1.4,-0.3
North Texas,228-245-0,48.2%,-1.6,+0.1
Fairfield,186-200-0,48.2%,-1.3,-1.1
Loyola-Chi,223-240-0,48.2%,-0.3,-0.4
Liberty,200-216-0,48.1%,-0.3,-0.6
Southern,223-241-0,48.1%,-0.4,+0.5
Radford,202-219-0,48.0%,-1.3,0.0
S Mississippi,220-239-0,47.9%,-1.1,-0.1
WI-Milwkee,213-232-0,47.9%,-0.7,-0.2
Gard-Webb,189-206-0,47.9%,-0.8,+1.0
Coastal Car,202-221-0,47.8%,-1.2,-0.3
Indiana St,212-232-0,47.8%,-0.6,+0.1
Monmouth,211-231-0,47.7%,-1.7,0.0
Lehigh,215-236-0,47.7%,-0.8,-0.4
Texas St,218-240-0,47.6%,-0.8,+0.6
Ball St,226-251-0,47.4%,0.1,-0.4
Queens,18-20-0,47.4%,-0.6,+0.3
E Kentucky,221-246-0,47.3%,-1.6,-0.3
Abl Christian,79-88-0,47.3%,-1.4,-0.5
NW State,211-236-0,47.2%,-2.2,+0.9
Georgia,209-234-0,47.2%,-0.8,+0.3
Mt St Marys,229-257-0,47.1%,-1.2,+0.2
GA Tech,174-196-0,47.0%,0.2,-0.3
Holy Cross,225-255-0,46.9%,-1.0,-1.3
High Point,187-213-0,46.8%,-2.0,-1.8
Troy,208-237-0,46.7%,-1.9,+0.1
La Salle,184-210-0,46.7%,-1.9,-0.3
Rutgers,136-156-0,46.6%,-1.3,-1.0
Wyoming,194-223-0,46.5%,-1.4,-0.3
N Colorado,144-166-0,46.5%,-1.1,-0.2
TX Christian,203-235-0,46.4%,-0.6,-1.0
Penn St,163-189-0,46.3%,-1.3,+0.1
Delaware,232-270-0,46.2%,-1.7,-0.5
Navy,213-248-0,46.2%,-1.3,+0.7
W Michigan,213-249-0,46.1%,-1.2,-0.3
S Car State,204-241-0,45.8%,-2.4,+0.8
Bellarmine,33-39-0,45.8%,-3.3,-1.0
Northwestern,153-181-0,45.8%,-1.1,-0.1
Bowling Grn,213-253-0,45.7%,-1.7,-0.7
